,Test(seconds),numpy,dpnp,cupy,afcpu,afcuda,afopencl,afoneapi
0,black_scholes,3.2469557866666756,0.8026052900000081,,,,0.250595573333347,0.3158321466666621
1,group_elementwise,1.4616193199995906,0.07691458666425509,,,,0.002173879993885445,0.007448536667895193
2,fft,0.5926130033333341,0.022088803333334302,,,,0.028051383333335404,0.030738789999994274
3,gemm,0.4722093600000221,0.10948525333333237,,,,0.18653675999998995,0.1076434300000301
4,kmeans,1.1405628499999694,0.5337058933333537,,,,0.014511663333329731,0.18765705666664872
5,qr,10.837802240000004,5.5862609300000035,,,,1.576863963333335,46.761825006666676
6,mandelbrot,1.171373503333416,0.4551014533334334,,,,0.11626933666684636,0.6745180366666924
7,pi,0.764568643333223,0.08571402666657377,,,,0.004481100000036046,0.015283860000090499
8,nbody,0.934963656666605,0.19601548333333388,,,,0.017492480000055367,0.05653819333335074
9,neural_network,2.828539870000107,1.9875935399999132,,,,0.2775393166667527,0.849118643333198
10,normal,0.2071477949999826,0.006903239333332749,,,,0.00020852016663411633,0.00021826816657267046
11,uniform,0.07808677866662038,0.005129207333302474,,,,0.00019232683334848843,0.00018506399998538352
