,Test(seconds),afcpu,afcuda,afoneapi,numpy,dpnp,cupy,afopencl
0,black_scholes,,0.0047325921665712185,,1.667537466933451,1.8191837627332157,0.04899847273342554,0.0046645318000325155
1,group_elementwise,,0.00019152706669653223,,0.2288542883000749,0.18948204393327614,0.0025262536333684692,0.0001978189666867062
2,fft,,0.0023417367998869545,,0.3536904597333584,0.06231671913325651,0.0025219861998872755,0.006605720633039406
3,gemm,,0.03218431803331138,,0.3454143542667225,0.5033962242665438,0.07228098783319487,0.0362794071670578
4,kmeans,,0.026388944999841138,,0.9237710013000954,5.334526537133206,0.28086603046655606,0.01901284206657389
5,qr,,0.10875940336682106,,3.833525657333242,0.06255389646660964,0.09956942473321154,0.45264520653302803
6,mandelbrot,,0.20459786620012893,,3.1071264892667387,5.651545351300046,0.17192493779991005,0.21678684380015814
7,pi,,0.0015599023332470096,,0.4253756481001498,0.35377299029999754,0.0065596880999995244,0.0015208634667336204
8,nbody,,0.0032393618666901602,,0.5282566708666006,1.6319276251002521,0.016398038266561343,0.003482238366693006
9,normal,,0.00032222011165989294,,0.4470904430750094,0.15910017264332965,0.007394836149993959,0.0003428432216545237
10,uniform,,0.0003138514799866243,,0.15857848525166143,0.11213150244667304,0.0030901516249832637,0.00032471986500543914
11,neural_network,,0.3574160658333464,,7.015713703733399,13.810492827633364,4.029011114233344,0.579225848466649
